pc_id,position_name,value,club_id
175219,Batter,6.0,4713
19415,Batter,6.5,4713
3543610,Batter,6.2,4713
1924868,Batter,5.5,4713
1078459,Batter,5.3,4713
183836,Batter,5.5,4713
1009629,Batter,3.9,4713
3667559,Batter,3.7,4713
19409,Batter,3.9,4713
3787212,Batter,4.3,4713
1775494,Batter,3.5,4713
19421,Batter,3.7,4713
1265687,Batter,2.7,4713
3304640,Batter,3.1,4713
1193179,Batter,2.5,4713
171178,Batter,2.6,4713
1087444,Batter,2.5,4713
3975187,Batter,2.5,4713
42554,Batter,2.4,4713
4115867,Batter,1.8,4713
1212100,Batter,2.0,4713
3955292,Batter,2.0,4713
4088193,Batter,1.9,4713
2639507,Batter,2.0,4713
4157329,Batter,1.9,4713
1258458,Batter,1.9,4713
875695,All Rounder,7.6,4713
367988,All Rounder,8.7,4713
873796,All Rounder,7.2,4713
1099604,All Rounder,7.4,4713
1554825,All Rounder,6.8,4713
4080372,All Rounder,4.8,4713
962749,All Rounder,4.5,4713
3551818,All Rounder,4.8,4713
1710800,All Rounder,4.6,4713
1696372,All Rounder,4.0,4713
585,All Rounder,4.0,4713
3334467,All Rounder,3.6,4713
1663871,All Rounder,3.0,4713
3874495,All Rounder,3.4,4713
1800763,All Rounder,3.0,4713
3926294,All Rounder,2.7,4713
4119148,All Rounder,2.0,4713
3947833,All Rounder,1.5,4713
1339992,Keeper,10.4,4713
1945935,Keeper,5.2,4713
1452726,Keeper,5.1,4713
7300,Keeper,4.0,4713
1684143,Keeper,3.9,4713
3926286,Keeper,2.8,4713
3438959,Keeper,3.4,4713
32420,Keeper,2.8,4713
42553,Bowler,10.8,4713
1954038,Bowler,9.4,4713
175540,Bowler,9.1,4713
3397984,Bowler,8.2,4713
48688,Bowler,7.7,4713
741,Bowler,7.7,4713
443620,Bowler,6.9,4713
328320,Bowler,6.6,4713
19411,Bowler,6.7,4713
3535631,Bowler,5.6,4713
4088113,Bowler,4.6,4713
1265999,Bowler,4.1,4713
1559784,Bowler,4.2,4713
3407183,Bowler,4.0,4713
3926106,Bowler,3.3,4713
1266003,Bowler,3.5,4713
3443562,Bowler,3.6,4713
3450238,Bowler,3.0,4713
3637887,Bowler,2.9,4713
3598056,Bowler,3.2,4713
685753,Bowler,3.0,4713
1302989,Bowler,3.5,4713
3875837,Bowler,3.0,4713
3874527,Bowler,3.0,4713
945435,Bowler,2.8,4713
19413,Bowler,2.1,4713
4142513,Bowler,1.9,4713
1193286,Bowler,2.0,4713
36005,Batter,12.9,4437
16102,Batter,11.6,4437
3969577,Batter,10.8,4437
159324,Batter,10.7,4437
3049144,Batter,7.6,4437
3451485,Batter,4.9,4437
18317,Batter,3.2,4437
1698389,Batter,3.0,4437
0,Batter,3.0,4437
0,Batter,3.0,4437
0,Batter,3.0,4437
1458323,Batter,2.7,4437
3590568,Batter,1.7,4437
3954722,Batter,1.0,4437
3687560,Batter,1.0,4437
0,Batter,1.0,4437
1665983,Batter,1.0,4437
600654,Batter,1.0,4437
1615056,All Rounder,8.7,4437
405914,All Rounder,8.3,4437
41904,All Rounder,8.0,4437
3298450,All Rounder,7.8,4437
1696321,All Rounder,6.2,4437
2631981,All Rounder,6.2,4437
134285,All Rounder,4.9,4437
3464603,All Rounder,3.4,4437
0,All Rounder,3.0,4437
3590557,All Rounder,2.5,4437
3378651,All Rounder,1.0,4437
911519,Keeper,2.8,4437
1186842,Keeper,2.3,4437
3618202,Keeper,2.0,4437
1002492,Keeper,1.0,4437
915782,Bowler,10.0,4437
1652980,Bowler,7.5,4437
2631983,Bowler,7.0,4437
